chr	start	end	name	baseMean	DHX36	FANCJ	DKO	DHX36lfc	FANCJlfc	DKOlfc	dir	nonsig	sig
chr1	3741302	3742301	pro1_Xkr4_1	3642	TRUE	FALSE	TRUE	0.59910505548124	0.204618100653646	0.601555429363391	.	FALSE	lowlfc
chr1	4430008	4431007	pro2_Rp1_2	111.166666666667	FALSE	FALSE	FALSE	0.278983661469899	0.012936510850333	0.473156152261024	.	TRUE	nonsig
chr1	4479007	4480006	pro3_Rp1_1	146.833333333333	FALSE	FALSE	FALSE	0.0816831473170434	-0.0035264237047122	-0.18196837183058	.	TRUE	nonsig
chr1	4563351	4564350	pro4_Sox17_1	4441.66666666667	TRUE	FALSE	TRUE	0.510558551163686	-0.000631776841973405	0.452403801196922	.	FALSE	lowlfc
chr1	4567114	4568113	pro5_Sox17_2	1583.5	TRUE	FALSE	FALSE	0.740597738369146	-0.0141477900760405	0.406356086827665	.	FALSE	lowlfc
chr1	4855452	4856451	pro6_Mrpl15_1	3564.83333333333	FALSE	FALSE	FALSE	0.229661149607108	0.0146712581825065	0.332080548827034	.	TRUE	nonsig
chr1	4877599	4878598	pro7_Lypla1_1	3007.66666666667	TRUE	FALSE	TRUE	0.572283131965494	0.0189322626700394	0.410569665848772	.	FALSE	lowlfc
chr1	4927495	4928494	pro8_Tcea1_1	5106.66666666667	TRUE	FALSE	TRUE	0.605552945313407	0.0778317499114639	0.440243588123758	.	FALSE	lowlfc
chr1	5140042	5141041	pro9_Rgs20_1	1407.66666666667	TRUE	FALSE	TRUE	1.02389704894165	0.0592947111228643	1.0428916374616	.	FALSE	DHX36
chr1	5152833	5153832	pro10_Atp6v1h_1	4100.5	TRUE	FALSE	TRUE	0.384422427762672	0.0438403778928301	0.496140231079164	.	FALSE	lowlfc
chr1	5658174	5659173	pro11_Oprk1_1	1475.83333333333	TRUE	FALSE	FALSE	0.626854661288959	0.0184694231999076	0.324881427340541	.	FALSE	lowlfc
chr1	5987197	5988196	pro12_Npbwr1_1	1984.33333333333	TRUE	FALSE	TRUE	0.934600288524233	0.119800256354503	1.16973419039071	.	FALSE	DKO
chr1	6284369	6285368	pro13_Rb1cc1_1	6844.66666666667	TRUE	FALSE	TRUE	0.462782712192129	0.0268185294802654	0.358212336812905	.	FALSE	lowlfc
